Wed Jan 15 14:31:50 2025    profiling-output

         709733 function calls (690256 primitive calls) in 6.802 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11623    0.003    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
      338    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     3352    0.003    0.000    0.016    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2303(search)
        1    0.002    0.002    0.002    0.002 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/requests/models.py:909(text)
      259    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      726    0.002    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
     1428    0.002    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
      162    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      309    0.002    0.000    0.128    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
     9578    0.002    0.000    0.003    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
     1715    0.002    0.000    0.012    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2240(search_tag)
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     2701    0.002    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
      228    0.002    0.000    0.223    0.001 {method 'read' of '_io.BufferedReader' objects}
     1839    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       16    0.002    0.000    0.005    0.000 /usr/lib/python3.12/enum.py:1708(convert_class)
       34    0.002    0.000    0.020    0.001 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:792(_find_all)
5809/5741    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     8568    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     5464    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     5462    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     2606    0.001    0.000    0.003    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
      272    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     5783    0.001    0.000    0.008    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
      259    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     4184    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
      163    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      215    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    218/3    0.001    0.000    0.292    0.097 <frozen importlib._bootstrap>:1349(_find_and_load)
     5875    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3761    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      217    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2670    0.001    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1371(is_empty_element)
      325    0.001    0.000    0.005    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_parser.py:1094(selector_iter)
       19    0.001    0.000    0.231    0.012 {method 'join' of 'bytes' objects}
      326    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     7668    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      917    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
     2671    0.001    0.000    0.001    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/__init__.py:205(can_be_empty_element)
     2727    0.001    0.000    0.002    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
     4690    0.001    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:113(__init__)
     1100    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_parser.py:312(_class_escape)
