Wed Jan 15 14:32:11 2025    profiling-output

         709732 function calls (690255 primitive calls) in 2.061 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
57216/52426    0.009    0.000    0.010    0.000 {built-in method builtins.len}
     2670    0.008    0.000    0.071    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:105(handle_starttag)
  513/509    0.008    0.000    0.099    0.000 {built-in method builtins.__build_class__}
     2523    0.007    0.000    0.047    0.000 /usr/lib/python3.12/html/parser.py:379(parse_endtag)
      917    0.007    0.000    0.012    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
     2671    0.007    0.000    0.028    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:1199(__init__)
    23397    0.007    0.000    0.011    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
    13894    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
 1228/194    0.007    0.000    0.075    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
       42    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     8022    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
     2669    0.005    0.000    0.010    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:688(_popToTag)
3384/3358    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa43b40}
    19517    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
     2701    0.005    0.000    0.013    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:620(object_was_parsed)
 4015/382    0.005    0.000    0.008    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
    22598    0.005    0.000    0.005    0.000 /usr/lib/python3.12/re/_parser.py:240(__next)
    15316    0.005    0.000    0.008    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
     2671    0.005    0.000    0.006    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:572(pushTag)
    10657    0.005    0.000    0.009    0.000 /usr/lib/python3.12/_markupbase.py:44(updatepos)
     2671    0.005    0.000    0.035    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:160(handle_endtag)
     7960    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
        1    0.004    0.004    0.032    0.032 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/dammit.py:70(_populate_class_variables)
 2246/852    0.004    0.000    0.008    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:2336(_matches)
    14583    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
      783    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    12799    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     2701    0.004    0.000    0.010    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/element.py:943(__new__)
     2670    0.003    0.000    0.004    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:558(popTag)
    14583    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     2670    0.003    0.000    0.011    0.000 /usr/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
     2175    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     1947    0.003    0.000    0.004    0.000 /usr/lib/python3.12/html/__init__.py:91(_replace_charref)
      472    0.003    0.000    0.004    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/soupsieve/css_types.py:41(__init__)
     2669    0.003    0.000    0.030    0.000 /home/rim/prj/DS_Bootcamp.Day03-1/src/ex02/weaverir/lib/python3.12/site-packages/bs4/__init__.py:763(handle_endtag)
      164    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
